Year,Year_Rank,Song,Artist,Genre,Cover,Points,Peak,Weeks
2003,74,Like Glue,Sean Paul,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1222,13,20
2003,75,Put That Woman First,Jaheim,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1190,20,20
2003,76,Fighter,Christina Aguilera,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1185,20,20
2003,77,Wanksta,50 Cent,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1165,13,15
2003,78,The Way You Move,OutKast Featuring Sleepy Brown,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1130,2,14
2003,79,Red Dirt Road,Brooks & Dunn,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1124,25,20
2003,80,Like A Stone,Audioslave,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1118,31,20
2003,81,03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1114,4,13
2003,82,Someday,Nickelback,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1114,16,19
2003,83,What Was I Thinkin',Dierks Bentley,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1107,22,20
2003,84,Come Over,Aaliyah,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1103,32,20
2003,85,Real Good Man,Tim McGraw,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1046,27,20
2003,86,Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1042,3,12
2003,87,Have You Forgotten?,Darryl Worley,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1039,22,20
2003,88,"No Shoes, No Shirt, No Problems",Kenny Chesney,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1034,28,20
2003,89,Brokenheartsville,Joe Nichols,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1028,27,20
2003,90,Sick Of Being Lonely,Field Mob,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1024,18,17
2003,91,Dance With My Father,Luther Vandross,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1019,38,20
2003,92,Say Yes,Floetry,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1017,24,20
2003,93,Who Wouldn't Wanna Be Me,Keith Urban,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1013,30,20
2003,94,19 Somethin',Mark Wills,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1002,23,14
2003,95,Big Yellow Taxi,Counting Crows Featuring Vanessa Carlton,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,999,42,20
2003,96,All The Things She Said,t.A.T.u.,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,996,20,20
2003,97,I Want You,Thalia Featuring Fat Joe,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,995,22,19
2003,98,Somewhere I Belong,Linkin Park,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,991,32,20
